id,title,director,cast,country,release_year,adult,durationMins,genres,description
2060,Daredevil,Mark Steven Johnson,"Ben Affleck, Jennifer Garner, Joe Pantoliano, Jon Favreau, Michael Clarke Duncan, Colin Farrell, David Keith","United States, Switzerland",2003,False,104,Action,"A lawyer blinded by radioactive waste fights crime as an acrobatic martial arts superhero, using his other senses, which have been enhanced."
3609,The Transporter Refueled,Camille Delamarre,"Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright","France, China, Belgium, Monaco",2015,False,96,Action,"Frank Martin, a former special-ops mercenary, is now living a less perilous life. But when he is engaged by a cunning femme-fatale, he must use his covert expertise and knowledge of fast cars, fast driving, and fast women in a dangerous game of chess."
4880,Instant Death,Ara Paiaya,Lou Ferrigno,United Kingdom,2017,False,84,Action,"A gang war for drug dominance draws in a disturbed Special Forces veteran John Bradley. The underworld's retribution on his last connection to humanity, a daughter and grandchild leads to a descent of fury and violence."
5066,Falcon Rising,Ernie Barbarash,"Michael Jai White, Neal McDonough, Laila Ali, Jimmy Navarro, Millie Ruperto, Masashi Odate, Hazuki Kato, Lateef Crowder",United States,2014,True,101,Action,"The first installment in an action franchise, entitled CODENAME: FALCON, will center around former Marine John 'Falcon' Chapman, a dark anti-hero driven by guilt and suffering from post-traumatic stress disorder, who will destroy himself unless given something else to destroy - a useful weapon-of-last-resort for the U.S. State Department."
5140,Roberrt (4K UHD),Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,False,165,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar."
5652,Dhoom:2,Sanjay Gadhvi,"Abhishek Bachchan, Uday Chopra, Aishwarya Rai Bachchan, Bipasha Basu, Rimi Sen, Hrithik Roshan","India, South Africa, Brazil",2006,False,152,Action,"DHOOM:2 reinvents the action comedy genre and propels it into the 21st century. Ali (Uday Chopra) is now ACP Jai Dixit’s (Abhishek Bachchan) right-hand man. Enter Mr.A (Hrithik Roshan), a high tech international thief whose next target is Mumbai. Once in Mumbai, Mr.A finds his match in Sunehri (Aishwarya Rai), a clever thief. She makes him an offer he finds hard to refuse. And so the game begins."
5660,Jungle,Greg McLean,"Daniel Radcliffe, Thomas Kretschmann, Joel Jackson, Yasmin Kassim","Australia, Colombia, United Kingdom",2017,True,116,Action,"A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be."
6125,Roberrt,Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,False,165,Action,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar."
